model,macro_f1,balanced_accuracy,f1_light,f1_moderate-vigorous,f1_sedentary,f1_sleep
RF+HMM [BASELINE],0.8131899476802803,0.8130833304843874,0.750920170441529,0.692634683785894,0.8519826042466104,0.9572223322470879
ESN-E4_ESN_full,0.7549918809144324,0.7314037533650459,0.6844827730284874,0.5459627768735404,0.8379565125606924,0.9515654611950093
ESN-E3_ESN_large,0.7536816063583487,0.7296641229442358,0.6811206010680413,0.5472612185720853,0.8352764592363998,0.9510681465568683
ESN-E2_ESN_medium,0.7530883639791478,0.7288523601765742,0.6814924097001601,0.5478449347972852,0.8338758648570117,0.9491402465621341
